Date,Technology,Communication Srv,Consumer Discretionary,Consumer Staples,Healthcare,Financials,Industrials,Energy,Materials,Utilities,Real Estate
1964-05-31,0.052438330054777715,,,,,,-0.011134344712314892,,,,
1964-06-30,-0.006250625015404632,,,,,,0.006190195590254133,,,,
1964-07-31,-0.03144662483693794,,,,,,0.005564429788474157,,,,
1964-08-31,-0.046277020298339466,,,,,,0.0020447736250401305,,,,
1964-09-30,-0.009080513366419574,,,,,,0.04852975656489655,,,,
1964-10-31,-0.03780139987734177,,,,,,0.005865638877987356,,,,
1964-11-30,-0.01756382616456842,,,,,,0.006010111175937305,,,,
1964-12-31,-0.007273055243707471,,,,,,0.0003959052018789322,,,,
1965-01-31,0.09523865135459864,,,,,,0.08489993702068366,,,,
1965-02-28,0.016506962091793698,,,,,,0.014537689476962656,,,,
1965-03-31,-0.003291309828650002,,,,,,-0.009012951851452233,,,,
1965-04-30,0.06769324679341149,,,,,,0.008138669695887113,,,,
1965-05-31,-0.01412676585543382,,,,,,-0.01965612807121181,,,,
1965-06-30,-0.04184074955501249,,,,,,-0.06499413691337302,,,,
1965-07-31,0.045850896177503486,,,,,,0.005441730050332938,,,,
1965-08-31,0.04208188606896024,,,,,,0.038522261999807794,,,,
1965-09-30,0.027054212463933247,,,,,,0.07150585344320104,,,,
1965-10-31,0.04000077808958458,,,,,,-0.006196129746741885,,,,
1965-11-30,-0.014732590135053902,,,,,,-0.017980261596568126,,,,
1965-12-31,-0.04952342568720969,,,,,,0.04150037808047391,,,,
1966-01-31,-0.006011832981609899,,,,,,-0.017588576695399205,,,,
1966-02-28,0.03861669131616163,,,,,,-0.040350421128831526,,,,
1966-03-31,0.0019408621457852604,,,,,,-0.012333797646919664,,,,
1966-04-30,0.08042716953658036,,,,,,0.011831753674567347,,,,
1966-05-31,-0.02369971952192551,,,,,,-0.08658852870456091,,,,
1966-06-30,-0.033770778531797774,,,,,,0.006400374073703141,,,,
1966-07-31,-0.02781649858681956,,,,,,-0.05650991390231952,,,,
1966-08-31,-0.05912624851895565,,,,,,-0.07346445338532254,,,,
1966-09-30,-0.009359502841967071,,,,,,-0.016708322910049034,,,,
1966-10-31,0.04566873321907461,,,,,,0.07178183152823081,,,,
1966-11-30,0.13289104250537132,,,,,,-0.018665639362558162,,,,
1966-12-31,-0.01196734993009918,,,,,,-0.0436096695312404,,,,
1967-01-31,0.07536997397737055,,,,,,0.142301942166003,,,,
1967-02-28,0.0766424307059903,,,,,,-0.02661480951881262,,,,
1967-03-31,0.048837592476474345,,,,,,0.0004240249953557096,,,,
1967-04-30,0.10088602586403295,,,,,,0.08220262561089553,,,,
1967-05-31,-0.060717916881720235,,,,,,-0.09063554068703861,,,,
1967-06-30,0.06702371160463327,,,,,,0.005730664216490655,,,,
1967-07-31,0.02060249887581489,,,,,,0.13416856956249534,,,,
1967-08-31,-0.015542543706965062,,,,,,0.06081984843418731,,,,
1967-09-30,0.09704885546057485,,,,,,0.030857388373903394,,,,
1967-10-31,0.08253549435952601,,,,,,-0.07147306423466587,,,,
1967-11-30,0.033121136091624814,,,,,,-0.021810866735338885,,,,
1967-12-31,0.024510684173684183,,,,,,-0.016625064806905177,,,,
1968-01-31,-0.0518350448967716,,,,,,-0.05665787381986215,,,,
1968-02-29,-0.022256579558216028,,,,,,-0.03291364213390624,,,,
1968-03-31,0.05603312700001073,,,,,,-0.01850277627031116,,,,
1968-04-30,0.10612302859653977,,,,,,0.07649805340791205,,,,
1968-05-31,0.05584707356634788,,,,,,-0.03593961903022064,,,,
1968-06-30,-0.009103534448225092,,,,,,-0.02105518428641845,,,,
1968-07-31,-0.042403324561848255,,,,,,-0.00909720152082838,,,,
1968-08-31,-0.009163297521107783,,,,,,4.9852578272058246e-05,,,,
1968-09-30,0.0,,,,,,0.010257486417093453,,,,
1968-10-31,-0.08358239618086916,,,,,,0.05363877041301085,,,,
1968-11-30,0.08713308046659862,,,,,,0.045024645926518336,,,,
1968-12-31,-0.05617949443543324,,,,,,-0.02746626073283781,,,,
1969-01-31,-0.059523651886602136,,,,,,-0.016408849984953844,,,,
1969-02-28,-0.007027980344215923,,,,,,-0.07770252531210659,,,,
1969-03-31,0.07030281045310871,,,,,,0.019403612675363446,,,,
1969-04-30,0.044585511611137996,,,,,,0.05420005289323915,,,,
1969-05-31,-0.025041608560881667,,,,,,0.006205980950374779,,,,
1969-06-30,0.058775969409107454,,,,,,-0.09195200646219981,,,,
