combo,n_sleeves,w_US Equity,w_US Treasuries,ann_return,ann_vol,sharpe,sortino,max_drawdown,ulcer,calmar,n_both_down,both_down_avg_monthly,both_down_annualized,both_down_worst_monthly,both_down_hit_rate,both_down_maxdd,crisis_avg_ret,crisis_COVID 2020-02_ret,crisis_COVID 2020-02_maxdd,crisis_Stocks+Bonds rout 2022_ret,crisis_Stocks+Bonds rout 2022_maxdd,crisis_Q4 2018_ret,crisis_Q4 2018_maxdd,crisis_Bond rout 2021_ret,crisis_Bond rout 2021_maxdd,crisis_SVB / bank stress 2023_ret,crisis_SVB / bank stress 2023_maxdd,w_Gold,w_Silver,w_Commodities,w_Currency,w_Volatility,w_Digital Assets,w_US Corporate Bonds,w_US Municipal Bonds,w_EM Bonds,w_International Bonds,w_International Equity,w_US REIT,w_Preferred Stock,resilience_score,rank
"US Equity,International Equity,US Corporate Bonds,Commodities,Volatility,Digital Assets",6,0.18463780702685204,,0.14062848127196062,0.1139528278839959,1.2340938253425404,1.8140891215080324,-0.12289836136135657,0.03281419657806056,1.1442665281636457,33,0.008054010953283655,0.09664813143940387,-0.08917478075581206,0.5757575757575758,-0.216890990374063,-0.03275935536284791,-0.028474517441182012,-0.08917478075581209,-0.09959938818499736,-0.12289836136135668,-0.04307954455786489,-0.040541794107637474,0.03715587677193266,-0.019172424617141526,-0.02979920340212794,-0.024551906273574287,,,0.1330486814367721,,0.09081586831083416,0.052569710119209495,0.3779773881291746,,,,0.1609505449771576,,,89.32575795665947,11
"US Equity,US Corporate Bonds,Silver,Volatility,Digital Assets",5,0.28439255226124227,,0.1611437747412906,0.13407808270616975,1.2018651481945404,2.289255051337525,-0.14763287088901045,0.04080082565612097,1.0915169079278935,33,0.007071373280133623,0.08485647936160347,-0.08081938418932381,0.42424242424242425,-0.26148588656464244,-0.033446292026635405,-0.013724307686432291,-0.08081938418932377,-0.1365810263714301,-0.13492343173301524,-0.02363704575976089,-0.017585257433652024,0.014946925855535254,-0.02311803124348033,-0.008236006171088994,-0.014890773779663302,,0.12137349569888357,,,0.10020744862046904,0.062306524018353175,0.43171997940105195,,,,,,,89.26341193624617,12
"US Equity,US REIT,US Corporate Bonds,Volatility,Digital Assets",5,0.2416645150413108,,0.15059693335905872,0.12702943371761172,1.1855278650917858,2.1030069687298796,-0.15181386300327804,0.04483805856924661,0.9919840677251389,33,0.007005089286748346,0.08406107144098016,-0.08442373800637454,0.42424242424242425,-0.2788824793633541,-0.03360765004240671,-0.007566799384029266,-0.0844237380063746,-0.13960186650825834,-0.14392682011763558,-0.02762905138768046,-0.019218382992505556,0.03768284745777506,-0.007242470047184257,-0.03092338038984055,-0.01874309609092384,,,,,0.10521507141150659,0.06168696222625291,0.41430954891045824,,,,,0.17712390241047146,,88.92955905274272,13
"US Equity,EM Bonds,Silver,Commodities,Volatility,Digital Assets",6,0.27559220711002885,,0.16721033236784727,0.1334160053491518,1.2533003962324847,1.8293334210026337,-0.13544788708638755,0.03673700943820815,1.2344993780611866,33,0.006413757653611859,0.07696509184334231,-0.13544788708638753,0.5757575757575758,-0.26081850882339774,-0.03766042614844485,-0.08526462453601613,-0.13544788708638755,-0.07768242419584015,-0.12628005552806176,-0.03933927393232817,-0.044277969048803434,0.04345669344341996,-0.02934771327531993,-0.02947250152145975,-0.028366879870621586,,0.11533691269158619,0.15685484880742315,,0.10168520887894955,0.058994892444570964,,,0.29153593006744144,,,,,88.84810699381568,14
"US Equity,US REIT,EM Bonds,Commodities,Volatility,Digital Assets",6,0.22216879724521577,,0.15517499003745,0.12575055268776125,1.2339905210814432,1.6783252968293478,-0.1396097872420795,0.04407970143912617,1.1114907708324264,33,0.0061715794190743585,0.0740589530288923,-0.13960978724207954,0.5757575757575758,-0.27500633515547246,-0.03923448888956549,-0.08124963578732902,-0.1396097872420795,-0.0856614885242638,-0.1394768695502676,-0.044344537416374785,-0.04295887125749631,0.06474592042457061,-0.010941286685236307,-0.04966270314443044,-0.03099338280695363,,,0.15720927326261283,,0.10447805554134278,0.05698786571282876,,,0.27678109143184143,,,0.1823749168061585,,88.37950625974156,15
"US Equity,International Equity,US Corporate Bonds,Gold,Volatility,Digital Assets",6,0.2077747678276285,,0.14975388518721372,0.11464311115231603,1.306261524848616,2.3384979213740036,-0.13977064561696162,0.03257772110335529,1.0714258671853814,33,0.005296755607972419,0.06356106729566903,-0.06983613434048563,0.45454545454545453,-0.2555073488574441,-0.03308965807004181,0.0008112884067184023,-0.06983613434048563,-0.1341274920554606,-0.13977064561696162,-0.026477436467861604,-0.020585882826971047,0.0025847999117796228,-0.023340824770208823,-0.008239450145384852,-0.0139568797536338,0.1572647331892309,,,,0.08869606210531104,0.05150887924727878,0.32926510740878595,,,,0.16549045022176487,,,88.35134999245815,16
"International Equity,EM Bonds,Gold,Volatility,Digital Assets",5,,,0.16644772414839487,0.14470250017762482,1.1502753853186878,2.0881958850124764,-0.167981878812411,0.042878249702344245,0.9908671418913623,33,0.0069888310154586865,0.08386597218550423,-0.09490964308665345,0.5151515151515151,-0.3153329961218283,-0.038974119925268266,-0.018813515061437247,-0.0949096430866534,-0.16512495387023873,-0.1679818788124109,0.006449936989655347,-0.009975920041186304,-0.012770448647363208,-0.03885400830830921,-0.004611619036957504,-0.01784315270065262,0.20986692187598366,,,,0.10207572424425378,0.06898244317071074,,,0.3240074419877021,,0.2950674687213497,,,88.3332495349188,17
"US Equity,US REIT,EM Bonds,Volatility,Digital Assets",5,0.27967735539865807,,0.16618488490762406,0.13644234148205445,1.2179861698538903,1.8948078253395058,-0.16648402858398348,0.04884272093978579,0.9982031689231469,33,0.0051743362497411235,0.06209203499689348,-0.12430620034807573,0.45454545454545453,-0.3247570233496134,-0.04315553477902554,-0.04957812948534446,-0.12430620034807571,-0.15202550844044427,-0.16027954459828553,-0.026776667675116994,-0.02279823480242582,0.05015152219779906,-0.0053267105169768625,-0.037548890492021036,-0.02220529603816701,,,,,0.11898330735223867,0.06676119992709487,,,0.32585571675468145,,,0.20872242056732684,,88.12710543516518,18
"US Equity,US REIT,EM Bonds,Commodities,Currency,Volatility,Digital Assets",7,0.12659304999472257,,0.10986829548549698,0.09071342201388559,1.211158095972604,1.5807127371852339,-0.09497047230974387,0.01958987499540953,1.1568679486731857,33,0.011897583642459362,0.14277100370951235,-0.09497047230974379,0.7575757575757576,-0.1323543113557888,0.006154155005203887,-0.05282811208167337,-0.09497047230974376,0.051557753495608205,-0.03418153828846604,-0.017481698821500635,-0.022115240397988956,0.04896183783867003,0.0,0.0005609945949152095,-0.013862441394402736,,,0.09071349302330473,0.3879756831727059,0.05750139181607217,0.03716100861379245,,,0.19721095345509818,,,0.10284441992430395,,88.11302730152346,19
"US Equity,International Equity,US Corporate Bonds,Gold,Commodities,Volatility,Digital Assets",7,0.17285236930435155,,0.14150534750658567,0.10668960721985662,1.3263273827129554,1.9784997696687119,-0.12129396561975747,0.02974651914340972,1.1666313883263455,33,0.0059363251798862145,0.07123590215863457,-0.08370393247891598,0.5757575757575758,-0.2249609307721342,-0.0314332282486828,-0.025665497276080917,-0.08370393247891594,-0.08639526639175998,-0.1212939656197577,-0.038094430500046794,-0.035162758214500656,0.013410137761711738,-0.018086009574492135,-0.020421084837238035,-0.021073519867585322,0.14388723956614816,,0.12012001377307803,,0.07967071686412135,0.0451629479335822,0.30125701307373876,,,,0.13704969948497994,,,87.98330735582482,20
"US Equity,International Bonds,Gold,Volatility,Digital Assets",5,0.2794491934153614,,0.14701876603682762,0.1299193703214386,1.1316154448184492,2.19935336418027,-0.1431358322173154,0.03845591249853402,1.0271276154919542,33,0.008922322215665883,0.10706786658799058,-0.07241225513175914,0.45454545454545453,-0.2552526707806111,-0.029336334769272398,0.012563988579959995,-0.04940944619005894,-0.13248384055626827,-0.13524560571194677,-0.02060939334222034,-0.012921766323404471,-0.006610572661202907,-0.022296993023402822,0.0004581441333695313,-0.011111217381119531,0.16789714692667526,,,,0.08622476882841416,0.057441000771526446,,,,0.4089878900580226,,,,87.93705063100207,21
"US Equity,International Equity,EM Bonds,Gold,Volatility,Digital Assets",6,0.2422515538786719,,0.1648001589310851,0.12303102457687513,1.339500825079375,2.260560167268632,-0.14984859473487966,0.035311858321575754,1.099777807210395,33,0.004079107042124138,0.04894928450548965,-0.09798544459383488,0.45454545454545453,-0.29120165127074815,-0.03943288119752062,-0.024908281591823567,-0.09798544459383485,-0.14104572217130007,-0.14984859473487966,-0.026456526073207587,-0.026001661662287234,0.005026505289937422,-0.026489475527801676,-0.009780381441209296,-0.015662565418867902,0.1784729403307045,,,,0.09851946159022788,0.055160050944855536,,,0.24118806150681907,,0.18440793174872117,,,87.51671778369953,22
"International Equity,EM Bonds,Gold,Commodities,Volatility,Digital Assets",6,,,0.15382234288227659,0.1319452562074022,1.16580426840421,1.7610992170020472,-0.13857728207808195,0.03950003575519409,1.1100112556371595,33,0.007366254491542917,0.088395053898515,-0.11955570481214448,0.6060606060606061,-0.27758057763213195,-0.0386540655566362,-0.06806552349868233,-0.1195557048121445,-0.09163828843123778,-0.13857728207808195,-0.019387659453940165,-0.031078727586837163,0.006752467730549494,-0.02713996023239018,-0.0209313241298702,-0.02647021703465957,0.18676012910798076,,0.16728573411991854,,0.089295374712424,0.05852333078762536,,,0.2735220348070695,,0.22461339646498193,,,87.48453919251848,23
"US Equity,US REIT,US Corporate Bonds,Commodities,Volatility,Digital Assets",6,0.19155970919482798,,0.14065727116608912,0.11581517655606403,1.2144977484708102,1.8265283901187208,-0.11736396163550855,0.036377756796080615,1.1984707162742294,33,0.0074005393592500275,0.08880647231100033,-0.10115005215610195,0.5757575757575758,-0.235494158243023,-0.032195407467786506,-0.04059067677173156,-0.10115005215610195,-0.08557657781166539,-0.11736396163550888,-0.041972385773714316,-0.03484509337908015,0.04910167776100138,-0.012131206887985191,-0.04193907474282266,-0.02668215102309024,,,0.14285016019581367,,0.0924281073729679,0.05256330265899461,0.36677974986524986,,,,,0.1538189707121459,,87.4614108301071,24
"US Equity,US REIT,Preferred Stock,EM Bonds,Commodities,Currency,Volatility,Digital Assets",8,0.10391732471028237,,0.10087806799318808,0.08220312313983831,1.227180478551663,1.538162407274951,-0.09435737378976272,0.018019462569959264,1.0691063553544218,33,0.00991766441987912,0.11901197303854945,-0.09435737378976276,0.7575757575757576,-0.12652458555513013,-0.0021453431228858565,-0.05734714969092136,-0.09435737378976272,0.037423380659848515,-0.030690753179985153,-0.02846319502476713,-0.026099572170720342,0.04399024143819874,0.0,-0.0063299929967880475,-0.018253553946692924,,,0.0808979750021755,0.3579525445519017,0.05263257366703625,0.03253297077290625,,,0.15501443344043986,,,0.0818663059904882,0.13518587186476996,87.34375785610136,25
