# DFSCX (DFA US Micro Cap) monthly total returns (%).
# User-supplied 2026-08-01, from a Portfolio Visualizer backtest
# (1991-01 .. 2026-07, 427 months, $10,000 initial), supplied as two pages.
#
# PV summary stats (identical on both pages, same backtest):
#   mean 1.15%  stdev 5.80%  min -23.25%  max 23.58%  %positive 62.53%
#   skew -0.328  excess kurtosis 1.461
#   pctiles: 1st -13.04  5th -8.08  25th -2.38  50th 1.61  75th 4.56
#            95th 9.75  99th 13.77
#
# NOTE ON COVERAGE: the fund's own inception is 1981-12, but this backtest
# starts 1991-01, so it does NOT reach the 1980-82 Volcker window. It extends
# US small/micro history 26 months earlier than DFSVX (1993-03) and covers the
# 1990-91 recession tail.
#
# This is MICRO CAP, not small VALUE -- a size sleeve, not a size+value one.
# Do not treat it as interchangeable with DFSVX.
#
# Rows newest-first as supplied; the loader sorts. `balance` is PV's own
# compounded path -- redundant, not an independent source.
date,monthly_return,balance
2021-08,1.98,395078.83
2021-07,-2.32,387402.07
2021-06,-0.21,396586.76
2021-05,3.09,397421.76
2021-04,1.62,385515.53
2021-03,4.65,379357.13
2021-02,10.36,362483.77
2021-01,5.07,328449.66
2020-12,8.39,312594.41
2020-11,16.44,288392.05
2020-10,3.47,247679.48
2020-09,-4.62,239373.57
2020-08,4.76,250974.22
2020-07,2.92,239560.12
2020-06,2.78,232766.02
2020-05,4.44,226477.11
2020-04,13.32,216848.44
2020-03,-23.25,191352.81
2020-02,-10.09,249313.63
2020-01,-5.44,277300.57
2019-12,3.57,293254.48
2019-11,3.03,283137.36
2019-10,2.11,274805.90
2019-09,4.14,269119.35
2019-08,-6.23,258411.49
2019-07,0.72,275568.54
2019-06,7.31,273588.88
2019-05,-9.11,254945.26
2019-04,3.40,280492.47
2019-03,-3.56,271274.40
2019-02,5.11,281295.13
2019-01,10.11,267624.71
2018-12,-11.83,243044.25
2018-11,0.55,275643.94
2018-10,-10.40,274140.43
2018-09,-2.44,305964.78
2018-08,3.77,313606.54
2018-07,2.20,302223.14
2018-06,1.40,295718.34
2018-05,5.94,291636.22
2018-04,0.82,275274.62
2018-03,1.71,273026.46
2018-02,-4.31,268433.84
2018-01,2.04,280538.95
2017-12,-1.34,274923.18
2017-11,2.64,278653.86
2017-10,1.11,271496.66
2017-09,8.39,268514.49
2017-08,-2.16,247734.22
2017-07,0.47,253212.96
2017-06,3.72,252021.93
2017-05,-2.99,242992.44
2017-04,1.59,250481.93
2017-03,0.17,246558.87
2017-02,0.68,246145.63
2017-01,-1.44,244483.29
2016-12,-0.22,248045.46
2016-11,13.19,248597.02
2016-10,-3.53,219635.40
2016-09,0.72,227673.73
2016-08,1.59,226041.04
2016-07,5.02,222498.08
2016-06,-0.17,211869.19
2016-05,1.07,212237.84
2016-04,1.08,209998.80
2016-03,7.08,207759.75
2016-02,1.10,194031.16
2016-01,-6.80,191914.46
2015-12,-5.24,205908.22
2015-11,2.84,217295.44
2015-10,6.03,211290.34
2015-09,-4.31,199280.16
2015-08,-4.43,208261.50
2015-07,-2.44,217919.69
2015-06,1.63,223359.35
2015-05,1.38,219785.27
2015-04,-1.95,216794.24
2015-03,2.29,221114.62
2015-02,6.03,216174.81
2015-01,-4.90,203888.37
2014-12,3.03,214403.79
2014-11,-0.75,208107.61
2014-10,6.52,209672.33
2014-09,-5.69,196841.63
2014-08,4.54,208727.76
2014-07,-5.84,199666.22
2014-06,4.34,212060.74
2014-05,0.10,203240.79
2014-04,-3.41,203032.87
2014-03,0.97,210206.08
2014-02,4.21,208181.16
2014-01,-4.43,199762.45
2013-12,1.89,209012.64
2013-11,5.55,205145.39
2013-10,3.48,194358.68
2013-09,7.05,187827.28
2013-08,-3.48,175450.44
2013-07,7.41,181772.98
2013-06,0.46,169226.69
2013-05,5.18,168458.68
2013-04,-0.79,160168.97
2013-03,4.87,161451.90
2013-02,1.10,153951.69
2013-01,5.68,152274.01
2012-12,3.80,144082.99
2012-11,0.94,138812.27
2012-10,-2.05,137514.96
2012-09,4.19,140387.58
2012-08,3.12,134740.80
2012-07,-0.91,130668.97
2012-06,5.12,131872.01
2012-05,-6.97,125446.82
2012-04,-1.42,134848.42
2012-03,2.98,136784.04
2012-02,1.91,132820.62
2012-01,6.96,130331.96
2011-12,0.86,121852.09
2011-11,-0.60,120818.05
2011-10,15.43,121552.50
2011-09,-10.58,105302.66
2011-08,-8.93,117760.54
2011-07,-2.69,129307.49
2011-06,-2.16,132881.54
2011-05,-1.92,135809.99
2011-04,1.68,138463.96
2011-03,3.25,136176.06
2011-02,5.87,131893.39
2011-01,-1.09,124576.15
2010-12,8.19,125948.13
2010-11,4.24,116412.38
2010-10,4.34,111672.01
2010-09,12.16,107022.81
2010-08,-7.98,95418.95
2010-07,7.14,103696.48
2010-06,-7.24,96783.38
2010-05,-7.42,104336.17
2010-04,7.27,112697.60
2010-03,8.08,105063.25
2010-02,4.39,97204.68
2010-01,-2.94,93116.63
2009-12,8.69,95932.84
2009-11,1.78,88264.60
2009-10,-7.27,86724.05
2009-09,5.76,93520.60
2009-08,2.73,88430.34
2009-07,9.82,86077.03
2009-06,2.76,78383.50
2009-05,3.43,76277.05
2009-04,17.39,73749.53
2009-03,9.58,62827.02
2009-02,-13.11,57333.68
2009-01,-11.91,65987.82
2008-12,5.66,74912.40
2008-11,-12.84,70900.97
2008-10,-20.71,81345.80
2008-09,-7.37,102589.54
2008-08,3.38,110747.26
2008-07,4.48,107129.22
2008-06,-9.05,102540.49
2008-05,3.98,112744.22
2008-04,2.07,108431.60
2008-03,0.31,106231.28
2008-02,-3.14,105905.30
2008-01,-7.65,109332.94
2007-12,-0.06,118385.43
2007-11,-8.42,118452.17
2007-10,1.70,129336.96
2007-09,1.48,127176.01
2007-08,1.16,125327.26
2007-07,-6.51,123890.39
2007-06,-0.33,132511.62
2007-05,3.15,132955.13
2007-04,1.50,128894.82
2007-03,1.02,126984.09
2007-02,-0.50,125700.79
2007-01,1.15,126337.25
2006-12,1.61,124905.21
2006-11,2.25,122922.01
2006-10,5.45,120219.63
2006-09,0.56,114011.44
2006-08,2.78,113380.30
2006-07,-3.45,110317.93
2006-06,-0.89,114255.26
2006-05,-5.89,115280.83
2006-04,-0.41,122490.43
2006-03,4.55,123000.20
2006-02,0.25,117647.13
2006-01,9.14,117355.92
2005-12,0.18,107527.73
2005-11,4.53,107335.20
2005-10,-2.81,102680.18
2005-09,0.61,105648.60
2005-08,-1.39,105008.82
2005-07,7.63,106491.61
2005-06,4.52,98942.84
2005-05,6.03,94663.70
2005-04,-6.22,89277.43
2005-03,-3.23,95202.33
2005-02,0.83,98378.24
2005-01,-4.10,97570.76
2004-12,4.58,101742.75
2004-11,8.97,97288.63
2004-10,1.84,89278.14
2004-09,5.01,87663.12
2004-08,-1.52,83484.17
2004-07,-7.47,84775.50
2004-06,4.41,91619.52
2004-05,0.00,87746.62
2004-04,-4.09,87746.62
2004-03,0.14,91488.75
2004-02,0.50,91359.72
2004-01,5.78,90908.08
2003-12,2.77,85940.07
2003-11,4.30,83625.75
2003-10,8.94,80177.91
2003-09,0.09,73595.68
2003-08,4.73,73532.99
2003-07,7.38,70210.53
2003-06,4.51,65383.55
2003-05,11.51,62562.59
2003-04,9.28,56105.73
