# Gold monthly total returns (%), user-supplied 2026-08-01.
# Source: monthly returns matrix (third-party site), cross-checked against a
# Portfolio Visualizer "100% Gold" backtest (Jan 1972 - Jun 2026: CAGR 8.47%,
# stdev 19.72%, MaxDD -61.78%, Sharpe 0.28, Sortino 0.47).
# NOT audited Yahoo data -- validated by validate_gold_series.py before use.
# Gold was pegged until Aug 1971, so pre-1972 months are a managed price, not a
# market, and the study window starts 1972-01.
year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
1994,-3.54,0.97,2.00,-3.28,2.96,0.17,-1.09,0.46,2.36,-2.79,-0.20,0.04
1993,-0.74,-0.86,3.11,4.88,6.53,0.26,6.16,-7.52,-4.32,3.97,0.35,5.62
1992,0.27,-0.28,-3.23,-1.57,0.34,1.75,4.21,-4.99,2.65,-2.79,-1.49,-0.39
1991,-5.23,-0.90,-1.94,0.59,0.74,2.21,-1.49,-4.26,2.16,0.72,2.48,-3.59
1990,4.13,-1.77,-9.61,-0.20,-1.28,-2.99,5.71,4.15,5.33,-7.08,1.41,0.35
1989,-3.96,-1.78,-0.98,-1.47,-4.17,3.10,-1.26,-2.31,1.86,2.40,8.75,-2.34
1988,-5.39,-6.95,7.23,-1.74,1.45,-4.16,0.06,-2.07,-7.26,3.96,2.47,-2.92
1987,3.02,1.34,3.73,7.66,-0.50,-0.82,3.40,-1.97,1.35,2.02,5.06,-1.71
1986,7.25,-3.52,1.73,0.51,-0.74,1.03,3.10,7.61,10.01,-5.25,-2.87,-0.19
1985,-0.54,-6.16,14.42,-2.40,-2.29,1.19,3.07,1.76,-2.25,-0.20,0.06,0.46
1984,-2.26,5.48,-1.46,-3.27,2.25,-2.91,-8.23,1.72,-1.29,-2.98,-1.35,-6.29
1983,9.32,-18.22,1.53,3.50,1.92,-4.91,1.44,-1.84,-2.23,-5.68,6.02,-5.58
1982,-2.64,-6.30,-11.75,12.89,-9.97,-2.38,8.00,20.01,-3.52,6.61,3.01,4.79
1981,-14.12,-3.46,5.06,-6.03,-0.73,-11.11,-4.69,4.68,0.88,-0.41,-2.93,-4.10
1980,27.54,-2.45,-22.37,4.75,3.38,22.04,-6.01,2.77,5.62,-5.66,-1.47,-4.84
1979,3.41,7.53,-4.46,2.17,11.94,1.06,6.83,6.29,26.07,-3.84,8.81,23.18
1978,6.55,3.70,-0.36,-5.92,7.78,-0.60,9.40,4.22,4.02,11.75,-20.28,16.86
1977,-1.64,7.90,4.31,-1.11,-2.92,0.03,0.77,1.32,5.51,4.84,-0.90,3.06
1976,-8.63,3.24,-2.04,-0.93,-2.26,-1.35,-9.13,-7.56,11.54,6.16,5.77,3.26
1975,-5.74,3.38,-2.48,-5.78,-0.00,-0.45,0.27,-4.14,-11.61,1.17,-3.32,1.52
1974,18.04,22.64,6.46,-2.17,-7.39,-7.97,8.15,0.00,-3.04,10.41,10.18,1.36
1973,1.69,28.79,5.88,0.81,26.47,7.41,-6.21,-10.47,-3.38,-2.00,3.06,11.14
1972,8.07,2.23,0.37,2.52,19.86,8.75,5.65,-2.08,-4.01,0.30,-1.23,2.04
1971,1.79,1.97,0.21,2.11,2.87,-1.81,5.74,-4.13,4.80,-0.61,2.98,0.07
1970,-0.60,0.09,0.80,1.56,-1.12,0.11,-0.54,1.42,1.68,2.34,0.78,-0.43
1969,1.53,0.38,1.24,0.86,-0.85,-4.70,0.46,-1.28,-0.44,-2.29,-10.44,-1.12
