# DFSVX (DFA US Small Cap Value) monthly total returns (%).
# User-supplied 2026-08-01, from a Portfolio Visualizer backtest
# (1993-03 .. 2026-07, $10,000 initial), supplied as two paginated pages.
#
# PV summary stats accompanying the series (identical on both pages, same
# backtest), used as the validation target in validate_dfsvx_series.py:
#   mean 1.08%  stdev 5.80%  min -26.60%  max 19.66%  %positive 61.35%
#   skew -0.537  excess kurtosis 2.058
#   pctiles: 1st -14.56  5th -8.38  25th -2.09  50th 1.36  75th 4.61
#            95th 10.00  99th 14.87
#
# WHY THIS SERIES MATTERS (open-questions Q1): the panel's US Small Value
# sleeve is VISVX, which starts 1998-06 -- AFTER the dot-com bubble began
# inflating. DFSVX starts 1993-03 and covers the full run-up and unwind, which
# is the single episode the small-value case rests on.
#
# Rows are newest-first as supplied; the loader sorts. The `balance` column is
# PV's own compounded $10,000 path -- a redundant encoding that catches
# transcription errors, NOT an independent source. Early balances (1993) are
# rounded to the dollar by PV, so a reconstruction drifts slightly there.
date,monthly_return,balance
2020-02,-10.79,133291.87
2020-01,-6.88,149411.75
2019-12,3.92,160453.40
2019-11,3.17,154406.02
2019-10,1.83,149659.28
2019-09,5.96,146966.41
2019-08,-8.00,138704.46
2019-07,0.39,150759.79
2019-06,7.77,150168.39
2019-05,-11.52,139348.01
2019-04,4.04,157486.38
2019-03,-3.66,151364.68
2019-02,3.27,157115.77
2019-01,12.00,152135.16
2018-12,-12.79,135834.96
2018-11,0.91,155751.92
2018-10,-9.41,154352.19
2018-09,-3.19,170385.47
2018-08,2.84,176001.08
2018-07,1.61,171136.84
2018-06,0.06,168429.78
2018-05,6.29,168324.92
2018-04,1.32,158363.87
2018-03,0.93,156295.68
2018-02,-4.68,154855.63
2018-01,1.50,162452.80
2017-12,-0.40,160047.03
2017-11,2.12,160682.62
2017-10,0.96,157340.10
2017-09,7.92,155850.06
2017-08,-2.55,144415.88
2017-07,0.77,148194.09
2017-06,2.59,147068.66
2017-05,-3.51,143360.27
2017-04,0.46,148574.83
2017-03,-1.14,147892.93
2017-02,0.32,149593.89
2017-01,-0.53,149112.76
2016-12,3.07,149914.65
2016-11,14.87,145455.22
2016-10,-3.14,126625.69
2016-09,1.21,130724.11
2016-08,1.74,129166.33
2016-07,4.85,126963.32
2016-06,-1.16,121088.61
2016-05,0.47,122507.32
2016-04,1.80,121929.10
2016-03,8.77,119770.38
2016-02,1.17,110117.31
2016-01,-7.18,108848.05
2015-12,-6.68,117271.28
2015-11,3.17,125667.77
2015-10,5.28,121801.64
2015-09,-4.51,115689.46
2015-08,-4.04,121151.12
2015-07,-3.67,126247.98
2015-06,0.05,131051.49
2015-05,1.36,130985.59
2015-04,-1.34,129230.34
2015-03,1.78,130985.59
2015-02,5.90,128700.87
2015-01,-4.95,121534.57
2014-12,1.85,127859.93
2014-11,-0.28,125531.85
2014-10,4.61,125883.28
2014-09,-6.98,120330.64
2014-08,5.83,129355.77
2014-07,-5.76,122233.66
2014-06,4.44,129706.61
2014-05,0.83,124196.81
2014-04,-1.93,123180.53
2014-03,1.21,125598.58
2014-02,5.45,124095.80
2014-01,-5.14,117684.30
